,1968,1969,1970,1971,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Genetic tools,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,0.0,2.0,2.0,0.0,2.0,1.0,3.0,4.0,0.0,4.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0
Med. sci.,2.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,1.0,6.0,5.0,8.0,18.0,18.0,32.0,34.0,35.0,58.0,60.0,85.0,86.0,111.0,123.0,133.0,155.0,182.0,234.0,255.0,358.0,403.0,528.0,532.0,466.0,454.0,515.0,503.0,480.0,436.0,461.0,414.0,417.0,431.0,416.0,420.0,411.0,462.0,483.0,431.0,473.0
Others,0.0,1.0,2.0,1.0,0.0,3.0,3.0,2.0,3.0,2.0,12.0,8.0,12.0,20.0,36.0,22.0,44.0,55.0,51.0,83.0,90.0,101.0,125.0,105.0,107.0,110.0,158.0,168.0,206.0,278.0,252.0,277.0,345.0,311.0,283.0,329.0,286.0,249.0,251.0,227.0,173.0,215.0,195.0,201.0,178.0,169.0,185.0,149.0,110.0,131.0
Appl. biotech,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,2.0,7.0,3.0,13.0,17.0,13.0,25.0,17.0,32.0,36.0,33.0,60.0,57.0,55.0,65.0,65.0,76.0,78.0,54.0,85.0,79.0,67.0,90.0,69.0,65.0,58.0,60.0,66.0,59.0,67.0,58.0,49.0,53.0,50.0,46.0,51.0,38.0,32.0,29.0,25.0
Metab. eng.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,5.0,3.0,12.0,13.0,10.0,24.0,16.0,26.0,29.0,26.0,45.0,49.0,43.0,53.0,50.0,62.0,58.0,40.0,58.0,46.0,50.0,59.0,49.0,41.0,40.0,42.0,42.0,30.0,49.0,43.0,34.0,41.0,34.0,30.0,32.0,23.0,18.0,17.0,15.0
Disease mapping,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,7.0,3.0,4.0,7.0,9.0,13.0,16.0,16.0,27.0,19.0,31.0,47.0,50.0,60.0,106.0,128.0,120.0,119.0,110.0,120.0,110.0,115.0,105.0,100.0,97.0,82.0,75.0,91.0,76.0,66.0,56.0,70.0,78.0,51.0,63.0
Blood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Gen. microb.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,3.0,5.0,3.0,6.0,6.0,6.0,8.0,17.0,20.0,22.0,14.0,26.0,19.0,20.0,18.0,25.0,21.0,21.0,14.0,20.0,31.0,15.0,9.0,17.0,17.0,23.0,22.0,11.0,11.0,11.0,10.0,12.0,9.0,14.0,4.0
Biofuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pharmacology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,7.0,6.0,10.0,4.0,7.0,8.0,7.0,20.0,8.0,13.0,20.0,35.0,23.0,41.0,35.0,33.0,23.0,37.0,30.0,34.0,29.0,33.0,21.0,36.0,27.0,28.0,26.0,23.0,43.0,40.0,26.0,43.0
Plant sci.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,5.0,6.0,3.0,4.0,7.0,20.0,43.0,63.0,48.0,94.0,75.0,75.0,105.0,72.0,74.0,63.0,87.0,105.0,89.0,93.0,63.0,57.0,51.0,44.0
Immunology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,3.0,2.0,5.0,5.0,4.0,7.0,10.0,8.0,7.0,11.0,9.0,7.0,6.0,11.0,2.0,8.0,4.0,5.0,3.0,2.0,3.0,5.0,7.0,2.0,5.0
Vet. med.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0,4.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,1.0,1.0,5.0,3.0,3.0,2.0,1.0,2.0,3.0
Biocontrol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
