,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Others,40.67796610169491,51.30890052356021,40.27149321266968,42.30769230769231,41.34419551934827,38.52813852813853,42.45283018867924,38.62068965517241,40.0,35.47351524879615,38.18181818181818,26.87007874015748,27.962577962577964,24.84700122399021,24.253075571177504,23.655913978494624,23.93617021276596,20.33582089552239,22.612085769980506,19.34156378600823,21.232876712328768,21.728395061728396,18.571428571428573,17.142857142857142,16.551724137931036,17.48633879781421
Med. sci.,48.58757062146893,43.455497382198956,44.796380090497735,47.633136094674555,51.323828920570264,51.731601731601735,48.820754716981135,53.44827586206897,50.90909090909091,54.57463884430177,53.63636363636363,62.89370078740158,61.95426195426195,65.36107711138311,63.09314586994728,65.59139784946237,63.829787234042556,69.58955223880596,64.91228070175438,68.3127572016461,67.57990867579909,70.61728395061728,72.57142857142857,71.42857142857143,75.17241379310344,72.95081967213115
Blood,0.0,0.5235602094240838,0.0,0.0,0.4073319755600815,0.0,0.2358490566037736,0.0,0.36363636363636365,0.16051364365971107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Disease mapping,21.468926553672315,13.612565445026178,17.647058823529413,18.93491124260355,21.181262729124235,21.428571428571427,16.037735849056602,21.379310344827587,18.727272727272727,19.42215088282504,20.181818181818183,20.96456692913386,19.126819126819125,18.9718482252142,18.804920913884008,17.204301075268816,18.085106382978722,18.28358208955224,18.51851851851852,15.22633744855967,17.35159817351598,13.08641975308642,15.142857142857142,10.714285714285714,11.03448275862069,11.202185792349727
Appl. biotech,7.909604519774011,4.18848167539267,12.217194570135746,9.171597633136095,4.684317718940937,6.4935064935064934,5.4245283018867925,4.137931034482759,6.0,5.93900481540931,5.2727272727272725,6.200787401574803,6.029106029106029,5.385556915544676,8.43585237258348,6.989247311827957,7.092198581560283,6.343283582089552,7.60233918128655,7.20164609053498,5.47945205479452,4.444444444444445,4.0,5.357142857142857,3.4482758620689653,5.46448087431694
Metab. eng.,5.084745762711864,4.18848167539267,9.95475113122172,7.100591715976331,3.4623217922606924,4.761904761904762,4.245283018867925,3.4482758620689653,4.181818181818182,4.975922953451043,4.181818181818182,4.724409448818897,5.093555093555094,3.427172582619339,6.678383128295255,4.838709677419355,5.851063829787234,5.597014925373134,6.237816764132553,5.761316872427984,2.9680365296803655,2.4691358024691357,3.4285714285714284,3.5714285714285716,2.413793103448276,4.371584699453552
Pharmacology,4.519774011299435,4.18848167539267,3.6199095022624435,3.2544378698224854,2.8513238289205702,2.5974025974025974,4.481132075471698,4.137931034482759,4.0,5.778491171749598,5.2727272727272725,5.118110236220472,6.029106029106029,6.854345165238678,4.569420035149385,4.659498207885305,3.723404255319149,5.223880597014926,3.898635477582846,4.938271604938271,3.1963470319634704,7.407407407407407,5.428571428571429,6.785714285714286,7.586206896551724,4.371584699453552
Plant sci.,1.1299435028248588,1.0471204188481675,0.9049773755656109,0.591715976331361,1.0183299389002036,2.1645021645021645,2.358490566037736,2.586206896551724,2.1818181818181817,2.568218298555377,2.3636363636363638,2.7559055118110236,2.7027027027027026,3.427172582619339,3.3391915641476273,3.225806451612903,3.900709219858156,2.985074626865672,4.288499025341131,3.909465020576132,5.0228310502283104,2.2222222222222223,4.0,5.0,4.482758620689655,3.278688524590164
Genetic tools,0.5649717514124294,0.0,0.0,0.0,1.0183299389002036,0.0,0.7075471698113207,0.1724137931034483,0.5454545454545454,0.16051364365971107,0.5454545454545454,0.0,0.2079002079002079,0.12239902080783353,0.1757469244288225,0.0,0.3546099290780142,0.373134328358209,0.0,0.0,0.45662100456621,0.24691358024691357,0.2857142857142857,0.35714285714285715,0.0,0.0
Immunology,1.1299435028248588,1.0471204188481675,1.8099547511312217,2.366863905325444,1.0183299389002036,2.5974025974025974,0.2358490566037736,2.2413793103448274,1.2727272727272727,1.6051364365971108,0.5454545454545454,1.6732283464566928,1.4553014553014554,1.346389228886169,0.0,0.5376344086021505,1.0638297872340425,0.1865671641791045,0.5847953216374269,0.6172839506172839,0.91324200913242,0.7407407407407407,0.5714285714285714,0.35714285714285715,0.6896551724137931,0.819672131147541
Biofuel,0.5649717514124294,0.0,0.9049773755656109,0.2958579881656805,0.0,0.4329004329004329,0.2358490566037736,0.1724137931034483,0.0,0.16051364365971107,0.0,0.0984251968503937,0.31185031185031187,0.24479804161566707,0.1757469244288225,0.17921146953405018,0.1773049645390071,0.5597014925373134,0.1949317738791423,0.823045267489712,0.0,0.24691358024691357,0.2857142857142857,0.35714285714285715,0.0,0.546448087431694
Gen. microb.,1.1299435028248588,0.0,1.8099547511312217,0.2958579881656805,0.6109979633401222,1.0822510822510822,0.2358490566037736,1.0344827586206897,0.36363636363636365,1.2841091492776886,0.0,1.279527559055118,1.1434511434511434,0.8567931456548348,0.70298769771529,0.5376344086021505,0.8865248226950354,0.373134328358209,0.5847953216374269,1.2345679012345678,0.228310502283105,0.7407407407407407,0.5714285714285714,0.7142857142857143,0.3448275862068966,0.819672131147541
Vet. med.,0.0,0.0,0.0,0.591715976331361,0.20366598778004075,0.0,0.0,0.0,0.0,0.16051364365971107,0.18181818181818182,0.1968503937007874,0.2079002079002079,0.24479804161566707,0.0,0.17921146953405018,0.0,0.373134328358209,0.3898635477582846,0.0,0.45662100456621,0.0,0.2857142857142857,0.0,0.3448275862068966,0.0
Food biotech,0.0,0.0,0.45248868778280543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1773049645390071,0.0,0.0,0.0,0.0,0.49382716049382713,0.0,0.0,0.0,0.0
Biocontrol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16051364365971107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
