,any,any,any,any,paper,paper,paper,paper,patent_gon,patent_gon,patent_gon,patent_gon
,1,2,3,0,1,2,3,0,1,2,3,0
1990,1428,21491,30232,12419,1417,21441,30193,12366,177,94,42,62
1991,1607,24987,36784,14064,1612,24857,36621,13985,191,112,45,62
1992,1860,29756,46454,16239,1858,29659,46340,16161,221,162,73,93
1993,1800,34133,56251,18723,1790,33962,56013,18600,338,256,142,147
1994,1916,39853,68599,21473,1902,39639,68359,21279,491,381,374,177
1995,1968,46574,84548,24342,1960,46335,84230,24129,462,579,420,292
1996,1954,52208,99086,26765,1960,51931,98665,26597,424,335,229,168
1997,1934,57240,111465,29249,1907,56964,110901,29039,580,475,401,229
1998,1970,63130,129394,31575,1960,62905,129102,31370,550,466,360,215
1999,1967,69639,148437,34367,1950,69214,147617,34104,623,621,531,264
2000,2052,75504,164903,37632,2043,75120,164133,37385,550,642,592,295
2001,1935,80016,179230,39663,1893,79296,178253,39125,1016,1010,594,507
2002,1932,85926,196635,41845,1907,85010,194965,41230,962,1524,1259,652
2003,1849,94703,223339,45572,1844,93791,221630,45038,817,1453,1273,626
2004,1832,102129,248178,49255,1829,101593,247190,48785,569,1395,1096,643
2005,1736,110087,273091,53092,1765,109393,271669,52585,558,1540,1354,661
2006,1674,119074,301455,56698,1668,118410,299941,56204,564,1643,1638,697
2007,1673,125864,328062,60066,1675,125092,326378,59545,536,1775,1657,700
2008,1637,132965,353214,63696,1653,132012,350947,63223,513,1790,1910,638
2009,1466,138638,376765,65725,1482,137827,374738,65277,486,1646,1857,621
2010,1389,146302,405525,69885,1396,145570,403967,69473,438,1503,1587,570
2011,1448,157555,446691,74757,1460,156924,444769,74406,405,1556,2051,510
2012,1384,171346,493962,81623,1402,170807,492333,81269,350,1497,1761,500
2013,1280,182146,537816,87824,1288,181731,536440,87489,280,1379,1619,517
2014,1127,184445,543585,89590,1146,183890,542092,89270,290,1424,1609,524
2015,1095,189580,570693,92828,1096,188743,568483,92351,366,2028,2322,686
2016,988,178257,538870,89426,998,178531,539016,89523,0,0,0,0
2017,747,147031,433509,78920,755,147263,433619,78993,0,0,0,0
2018,676,152523,458229,82615,680,152734,458379,82699,0,0,0,0
